dt;dt_calendar;activity
1;17/02/20;1
2;18/02/20;1
3;19/02/20;1
4;20/02/20;1
5;21/02/20;1
6;22/02/20;1
7;23/02/20;1
8;24/02/20;1
9;25/02/20;1
10;26/02/20;1
11;27/02/20;1
12;28/02/20;1
13;29/02/20;1
14;01/03/20;1
15;02/03/20;1
16;03/03/20;1
17;04/03/20;1
18;05/03/20;1
19;06/03/20;1
20;07/03/20;1
21;08/03/20;1
22;09/03/20;1
23;10/03/20;1
24;11/03/20;1
25;12/03/20;1
26;13/03/20;1
27;14/03/20;1
28;15/03/20;1
29;16/03/20;1
30;17/03/20;0,5
31;18/03/20;0,05
32;19/03/20;0,05
33;20/03/20;0,05
34;21/03/20;0,05
35;22/03/20;0,05
36;23/03/20;0,05
37;24/03/20;0,05
38;25/03/20;0,05
39;26/03/20;0,05
40;27/03/20;0,05
41;28/03/20;0,05
42;29/03/20;0,05
43;30/03/20;0,05
44;31/03/20;0,05
45;01/04/20;0,05
46;02/04/20;0,05
47;03/04/20;0,05
48;04/04/20;0,05
49;05/04/20;0,05
50;06/04/20;0,05
51;07/04/20;0,05
52;08/04/20;0,05
53;09/04/20;0,05
54;10/04/20;0,05
55;11/04/20;0,05
56;12/04/20;0,05
57;13/04/20;0,05
58;14/04/20;0,05
59;15/04/20;0,05
60;16/04/20;0,05
61;17/04/20;0,05
62;18/04/20;0,05
63;19/04/20;0,05
64;20/04/20;0,05
65;21/04/20;0,05
66;22/04/20;0,05
67;23/04/20;0,05
68;24/04/20;0,05
69;25/04/20;0,05
70;26/04/20;0,05
71;27/04/20;0,05
72;28/04/20;0,05
73;29/04/20;0,05
74;30/04/20;0,05
75;01/05/20;0,05
76;02/05/20;0,05
77;03/05/20;0,05
78;04/05/20;0,05
79;05/05/20;0,05
80;06/05/20;0,05
81;07/05/20;0,05
82;08/05/20;0,05
83;09/05/20;0,05
84;10/05/20;0,05
85;11/05/20;0,05
86;12/05/20;0,05
87;13/05/20;0,05
88;14/05/20;0,05
89;15/05/20;0,05
90;16/05/20;0,05
91;17/05/20;0,05
92;18/05/20;0,05
93;19/05/20;0,05
94;20/05/20;0,05
95;21/05/20;0,05
96;22/05/20;0,05
97;23/05/20;0,05
98;24/05/20;0,05
99;25/05/20;0,05
100;26/05/20;0,05
